Customer ID,Customer Age,Location,Industry,Customer Since,Sales Rep ID
11968,24,Europe,Finance,2021-07-26 07:26:59,364
12177,21,Asia,Healthcare,2020-02-28 23:18:19,322
14723,22,Europe,Finance,2021-03-09 07:14:50,372
15469,41,Europe,Retail,2020-12-13 19:49:18,386
13600,53,North America,Retail,2020-09-04 09:03:54,395
17361,48,Europe,Finance,2021-02-10 18:47:18,386
12262,46,Europe,Finance,2020-02-17 10:11:54,305
16842,62,North America,Finance,2020-01-30 10:09:59,384
13920,49,South America,Technology,2021-07-01 06:16:42,396
19796,67,North America,Finance,2020-06-10 18:30:49,398
13854,69,South America,Retail,2020-01-14 14:40:23,327
11312,26,North America,Finance,2020-08-08 11:59:22,335
11941,48,South America,Finance,2020-01-16 02:38:36,328
11563,35,North America,Retail,2021-05-24 02:40:42,315
10320,68,South America,Retail,2020-11-28 16:25:43,350
10736,37,North America,Finance,2021-01-11 12:05:28,350
12781,41,South America,Technology,2021-05-25 20:08:26,368
10196,36,Asia,Finance,2020-03-22 23:28:55,392
10266,32,Asia,Retail,2020-02-03 18:59:41,322
15899,24,Europe,Finance,2020-10-26 00:04:53,346
16038,23,Europe,Finance,2020-01-29 16:14:07,344
16218,56,Europe,Retail,2020-05-31 06:26:06,338
15882,52,North America,Technology,2020-07-24 13:17:46,333
19642,52,North America,Technology,2020-01-03 14:30:16,312
19219,26,Europe,Finance,2020-01-15 14:02:19,340
17257,27,South America,Technology,2021-05-11 00:17:29,313
10180,63,North America,Healthcare,2020-03-18 03:54:35,374
19955,28,Europe,Healthcare,2021-01-04 22:53:58,320
10996,36,Asia,Technology,2020-04-27 16:25:02,319
16851,22,Europe,Technology,2020-08-06 18:04:13,307
17760,48,South America,Finance,2021-04-19 15:33:09,350
13911,24,Europe,Finance,2020-02-05 17:03:26,317
19684,29,Europe,Retail,2020-03-13 18:02:40,336
19185,66,North America,Retail,2020-02-05 17:31:18,309
17480,30,Europe,Finance,2020-12-11 18:16:45,397
16774,20,Asia,Healthcare,2021-08-29 18:04:57,309
13830,55,South America,Technology,2021-06-20 22:22:51,372
10466,43,North America,Healthcare,2020-09-09 11:10:34,314
19853,54,Europe,Healthcare,2020-03-21 14:33:59,392
18159,65,North America,Finance,2022-06-22 06:10:32,323
11480,20,Asia,Healthcare,2020-01-18 12:41:59,335
10166,20,North America,Technology,2020-06-22 08:54:36,369
16756,35,Asia,Technology,2020-05-25 00:45:50,324
11086,34,Asia,Technology,2022-01-12 10:59:02,322
10497,51,North America,Retail,2020-01-31 10:15:36,379
17991,45,Europe,Finance,2020-01-05 08:15:48,339
12033,38,Europe,Healthcare,2020-01-16 17:36:52,303
16312,53,Europe,Technology,2020-04-09 09:59:02,391
16868,25,Asia,Technology,2020-11-05 02:45:25,380
13827,30,South America,Healthcare,2020-04-24 01:21:33,334
19842,56,South America,Technology,2020-01-11 06:12:40,302
11517,28,Asia,Retail,2020-01-01 13:41:22,339
18585,32,South America,Finance,2020-05-04 10:14:03,328
10829,29,Europe,Healthcare,2020-11-18 17:19:03,322
19467,42,North America,Retail,2020-01-02 06:21:26,352
16526,41,South America,Technology,2020-08-10 15:05:40,374
15845,33,South America,Healthcare,2020-04-10 06:38:56,340
17070,52,South America,Technology,2020-08-05 05:47:28,350
